"priority","game_id","title","lane","source_url","availability_status","download_evidence","runtime_hypothesis","next_action","notes"
"1","nfs-most-wanted-2005-ma","Need for Speed: Most Wanted","private-classic-racing","https://www.myabandonware.com/game/need-for-speed-most-wanted-i4m","verified-page-visible-private","Visible download link on checked page; page header shows Download 161 MB, comments mention larger MagiPack/full files","Wine/Windows VM","Acquire one practical full package only, manifest/checksum, test launch/race offline","High appeal but Windows fixes/NoCD/DirectX path likely tricky."
"2","nfs-underground-2-ma","Need for Speed: Underground 2","private-classic-racing","https://www.myabandonware.com/game/need-for-speed-underground-2-ega","verified-page-visible-private","Visible download parsed: 614 MB","Wine/Windows VM","Manifest/checksum, install, start first race offline","Top-downloads seed; likely one of the strongest nostalgia racing targets."
"3","civilization-1-ma","Sid Meier's Civilization","private-classic-strategy","https://www.myabandonware.com/game/sid-meier-s-civilization-1nj","verified-page-visible-private","Visible downloads parsed: 2 MB, 5 MB, 15 MB, 8 MB","DOSBox/Win3x/EmulatorJS","Acquire DOS or easiest version, start new game, found city offline","Classic strategy; small and likely easy."
"4","silent-hill-2-ma","Silent Hill 2: Restless Dreams","private-classic-action","https://www.myabandonware.com/game/silent-hill-2-restless-dreams-bgd","verified-page-visible-private","Visible download parsed: 275 MB","Wine/Windows VM","Install/launch, reach controllable scene offline","Mature horror; probably adult/hidden shelf only."
"5","blur-ma","Blur","private-classic-racing","https://www.myabandonware.com/game/blur-gls","verified-page-visible-private","Visible download parsed: 3.9 GB","Wine/Windows VM","Defer until smaller racers pass; test one race offline","Large modern-ish racer; high disk/runtime risk."
"6","nfs-ii-se-ma","Need for Speed II: SE","private-classic-racing","https://www.myabandonware.com/game/need-for-speed-ii-se-a4a","verified-page-visible-private","Visible download parsed: 108 MB","Wine/Windows VM","Install/launch, start race offline","Good smaller NFS target."
"7","house-of-the-dead-1-ma","The House of the Dead","private-classic-action","https://www.myabandonware.com/game/the-house-of-the-dead-bed","verified-page-visible-private","Visible downloads parsed: 18 MB, 368 MB","Wine/Windows VM","Install/launch, reach first playable shooting scene offline","Mature arcade shooter; age-label."
"8","incredible-machine-1-ma","The Incredible Machine","private-classic-puzzle","https://www.myabandonware.com/game/the-incredible-machine-1mg","verified-page-visible-private","Visible downloads parsed: 449 KB, 449 KB, 684 KB, 142 MB","DOSBox/EmulatorJS","Acquire small DOS package, solve/interact with first puzzle offline","Excellent family puzzle candidate."
"9","oregon-trail-deluxe-ma","Oregon Trail Deluxe","private-classic-educational","https://www.myabandonware.com/game/oregon-trail-deluxe-1h9","verified-page-visible-private","Visible downloads parsed: 2 MB, 2 MB","DOSBox/EmulatorJS","Start journey and make first choice offline","Strong family/education fit."
"10","nfs-carbon-ma","Need for Speed: Carbon","private-classic-racing","https://www.myabandonware.com/game/need-for-speed-carbon-ign","verified-page-visible-private","Visible download parsed: 3.2 GB","Wine/Windows VM","Defer until smaller NFS passes; start first race offline","Large Windows candidate."
"11","silent-hill-3-ma","Silent Hill 3","private-classic-action","https://www.myabandonware.com/game/silent-hill-3-bge","verified-page-visible-private","Visible download parsed: 352 MB","Wine/Windows VM","Install/launch, reach controllable scene offline","Mature horror; adult/hidden shelf only."
"12","virtua-cop-2-ma","Virtua Cop 2","private-classic-action","https://www.myabandonware.com/game/virtua-cop-2-byi","verified-page-visible-private","Visible downloads parsed: 12 MB, 14 MB, 287 MB, 287 MB","Wine/Windows VM","Acquire small Windows version first, start stage offline","Arcade shooter; simple smoke."
"13","prince-of-persia-ma","Prince of Persia","private-classic-platformer","https://www.myabandonware.com/game/prince-of-persia-pd","verified-page-visible-private","Visible downloads parsed: 337 KB, 1 MB, 3 MB, 76 KB","DOSBox/EmulatorJS","Start level, move/jump offline","Tiny and iconic."
"14","black-white-2-ma","Black & White 2","private-classic-management","https://www.myabandonware.com/game/black-white-2-bem","verified-page-visible-private","Visible download parsed: 618 MB","Wine/Windows VM","Install/launch, reach first controllable village/creature scene","Management/god-game lane; 3D risk."
"15","house-of-the-dead-2-ma","The House of the Dead 2","private-classic-action","https://www.myabandonware.com/game/the-house-of-the-dead-2-beg","verified-page-visible-private","Visible downloads parsed: 461 MB, 717 KB, 99 MB","Wine/Windows VM","Start first stage offline","Mature arcade shooter; age-label."
"16","mario-teaches-typing-ma","Mario Teaches Typing","private-classic-educational","https://www.myabandonware.com/game/mario-teaches-typing-1gl","verified-page-visible-private","Visible downloads parsed: 962 KB, 2 MB","DOSBox/EmulatorJS","Start typing lesson offline","Educational but licensed; private-only."
"17","nfs-underground-ma","Need for Speed: Underground","private-classic-racing","https://www.myabandonware.com/game/need-for-speed-underground-bgh","verified-page-visible-private","Visible download parsed: 475 MB","Wine/Windows VM","Start first race offline","Good NFS target after NFS II/Underground 2."
"18","project-igi-ma","Project IGI: I'm Going In","private-classic-action","https://www.myabandonware.com/game/project-igi-i-m-going-in-bgl","verified-page-visible-private","Visible download parsed: 179 MB","Wine/Windows VM","Launch, start mission offline","Shooter; age-label."
"19","simpsons-hit-run-ma","The Simpsons: Hit & Run","private-classic-action-racing","https://www.myabandonware.com/game/the-simpsons-hit-run-bg6","verified-page-visible-private","Visible download parsed: 477 MB","Wine/Windows VM","Install/launch, start first driving mission offline","Popular family-ish licensed title; private-only."
"20","cricket-07-ma","Cricket 07","private-classic-sports","https://www.myabandonware.com/game/cricket-07-e5y","verified-page-visible-private","Visible download parsed: 452 MB","Wine/Windows VM","Start match offline","Sports lane."
"21","zoo-tycoon-complete-ma","Zoo Tycoon: Complete Collection","private-classic-tycoon","https://www.myabandonware.com/game/zoo-tycoon-complete-collection-dzx","verified-page-visible-private","Visible download parsed: 495 MB","Wine/Windows VM","Install/launch, place exhibit/animal offline","Very strong tycoon target."
"22","typing-of-the-dead-ma","The Typing of the Dead","private-classic-typing","https://www.myabandonware.com/game/the-typing-of-the-dead-bee","verified-page-visible-private","Visible downloads parsed: 121 MB, 966 KB","Wine/Windows VM","Start typing combat lesson offline","Fun typing game; horror/zombie age-label."
"23","black-white-ma","Black & White","private-classic-management","https://www.myabandonware.com/game/black-white-a33","verified-page-visible-private","Visible download parsed: 326 MB","Wine/Windows VM","Reach first village/creature interaction offline","Good management/god-game; 3D risk."
"24","scarface-ma","Scarface: The World Is Yours","private-classic-action","https://www.myabandonware.com/game/scarface-the-world-is-yours-cn2","verified-page-visible-private","Visible download parsed: 1.9 GB","Wine/Windows VM","Defer; launch first controllable scene offline","Adult crime/action; likely hidden/adult shelf."
"25","lemmings-ma","Lemmings","private-classic-puzzle","https://www.myabandonware.com/game/lemmings-16x","verified-page-visible-private","Visible downloads parsed: 668 KB, 668 KB, 353 MB","DOSBox/EmulatorJS","Start first puzzle and assign skill offline","Excellent family puzzle target."
"26","road-rash-ma","Road Rash","private-classic-racing","https://www.myabandonware.com/game/road-rash-bez","verified-page-visible-private","Visible downloads parsed: 20 MB, 574 MB","Wine/DOSBox depending version","Start race offline","Strong arcade racing target."
"27","dune-ii-ma","Dune II: The Building of a Dynasty","private-classic-rts","https://www.myabandonware.com/game/dune-ii-the-building-of-a-dynasty-1e7","verified-page-visible-private","Visible downloads parsed: 4 MB, 4 MB, 4 MB, 10 MB","DOSBox/EmulatorJS","Start first mission/base build offline","Classic RTS; small."
"28","simant-ma","SimAnt","private-classic-sim","https://www.myabandonware.com/game/simant-197","verified-page-visible-private","Visible downloads parsed: 706 KB, 706 KB, 1 MB, 8 MB","DOSBox/Win3x/EmulatorJS","Start colony and move ant offline","Maxis sim lane; small."
