id,pkg,title,icon,meta,description,tags,categories,commands
abe-lan,abe,Abe's Amazing Adventure,ABE,Native Platformer - Retro,Side-scrolling platform adventure with a classic shareware-era feel,"Platformer,Arcade,Retro","arcade,platformer,retro,family,age-10-plus",abe
airstrike-lan,airstrike,Airstrike,AIR,Native Arcade - Dogfight,Two-dimensional biplane dogfighting inspired by classic couch action games,"Arcade,Action,Local Multiplayer","arcade,action,multiplayer,retro,age-10-plus",airstrike
alex4-lan,alex4,Alex the Allegator 4,ALEX,Native Platformer - Family,A retro Allegro platform game with friendly art and simple arcade goals,"Platformer,Family,Retro","arcade,platformer,family,casual,age-5-plus",alex4
alienblaster-lan,alienblaster,Alien Blaster,ABLAST,Native Shooter - Co-op,Classic 2D shoot em up with local action potential,"Arcade,Shooter,Action","arcade,action,multiplayer,age-10-plus",alienblaster
amphetamine-lan,amphetamine,Amphetamine,AMP,Native Platformer - Psychedelic,Fast jump-and-run game with distinctive visual effects,"Platformer,Action,Retro","arcade,platformer,action,age-10-plus",amphetamine
berusky-lan,berusky,Berusky,BUGS,Native Puzzle - Sokoban-like,Logic puzzle game based on Sokoban-style movement and planning,"Puzzle,Logic,Family","puzzle,strategy,family,age-10-plus",berusky
blobandconquer-lan,blobandconquer,Blob And Conquer,BLOB3D,Native 3D Platform Shooter,3D platform shooting game in the Blob Wars family,"Action,Platformer,3D","action,arcade,platformer,age-10-plus",blobAndConquer|blobandconquer
blobwars-lan,blobwars,Blob Wars: Metal Blob Solid,BLOB,Native Platform Shooter,2D platform shooting game with missions and exploration,"Action,Platformer,Retro","action,arcade,platformer,age-10-plus",blobwars
bloboats-lan,bloboats,Bloboats,BOAT,Native Racing - Physics Boat,Boat racing game with tricky physics and time-trial handling,"Racing,Physics,Arcade","racing,arcade,action,family,age-10-plus",bloboats
blockattack-lan,blockattack,Block Attack,BLOCK,Native Puzzle - Panel Attack,Puzzle game inspired by Tetris Attack and Panel de Pon,"Puzzle,Arcade,Family","puzzle,arcade,family,casual,age-5-plus",blockattack
bumprace-lan,bumprace,BumpRace,BUMP,Native Racing - Maze,One or two players race through maze-like levels,"Racing,Arcade,Local Multiplayer","racing,arcade,multiplayer,family,age-5-plus",bumprace
burgerspace-lan,burgerspace,BurgerSpace,BURGER,Native Arcade - BurgerTime-like,Avoid hostile food and complete giant burgers in a BurgerTime-style arcade game,"Arcade,Retro,Family","arcade,retro,family,casual,age-5-plus",burgerspace
caveexpress-lan,caveexpress,CaveExpress,CAVE,Native Physics Platformer,Physics-based cave delivery platformer,"Arcade,Physics,Family","arcade,puzzle,action,family,age-10-plus",caveexpress
cavepacker-lan,cavepacker,CavePacker,PACK,Native Puzzle - Sokoban,Sokoban-style puzzle game with local and network multiplayer features,"Puzzle,Strategy,Family","puzzle,strategy,multiplayer,family,age-10-plus",cavepacker
circuslinux-lan,circuslinux,Circus Linux!,CIRCUS,Native Arcade - Balloon Pop,A circus paddle game where clowns bounce to pop balloons,"Arcade,Family,Kids","arcade,family,casual,age-5-plus",circuslinux
cultivation-lan,cultivation,Cultivation,GARDEN,Native Simulation - Garden Ecosystem,A game about interactions within a gardening community,"Simulation,Garden,Strategy","simulation,strategy,science,family,age-10-plus",cultivation
enemylines3-lan,enemylines3,Enemy Lines 3,EL3,Native FPS - Abstract,Semi-abstract first-person 3D shooter,"FPS,Action,3D","action,arcade,age-13-plus",enemylines3
enemylines7-lan,enemylines7,Enemy Lines 7,EL7,Native FPS - Abstract,First-person 3D shooter with simple abstract visuals,"FPS,Action,3D","action,arcade,age-13-plus",enemylines7
ltris-lan,ltris,LTris,LTRIS,Native Puzzle - Tetris-like,Polished falling-block puzzle game with CPU opponent modes,"Puzzle,Arcade,Family","puzzle,arcade,retro,family,age-5-plus",ltris
epiphany-lan,epiphany,Epiphany,EPIPH,Native Puzzle - Boulder Dash-like,Boulder Dash style digging and gem-collection puzzle game,"Puzzle,Arcade,Retro","puzzle,arcade,retro,family,age-10-plus",epiphany-game|epiphany
